gene	Avrankou_coluzzii_Delta	Baguida_gambiae_Delta	Baguida_gambiae_PM	Korle-Bu_coluzzii_Delta	Korle-Bu_coluzzii_PM	Madina_gambiae_Delta	Madina_gambiae_PM	Obuasi_gambiae_Delta	Obuasi_gambiae_PM
AGAP000472	""	""	""	""	""	""	""	""	GWAS
AGAP000473	""	""	""	""	""	""	""	""	GWAS
AGAP000474	""	""	""	""	""	""	""	""	GWAS
AGAP001355	""	PBS	""	""	Fst;;PBS	""	Fst;H12;PBS	""	GWAS
AGAP001356	""	""	""	""	""	""	""	""	GWAS
AGAP001357	""	H12	""	""	Fst;H12;PBS	""	Fst;H12;PBS	""	GWAS;Fst;H12
AGAP001358	""	H12	""	""	Fst;H12;PBS	""	Fst;H12;PBS	""	GWAS;;H12
AGAP001360	""	H12	""	""	Fst;H12;PBS	""	PBS	""	GWAS
AGAP002793	""	""	""	""	""	""	""	""	GWAS
AGAP002795	""	""	""	""	""	""	""	""	GWAS
AGAP002796	""	""	""	""	""	""	""	""	GWAS
AGAP002797	""	""	""	""	""	""	""	""	GWAS
AGAP002799	""	""	""	""	""	""	""	""	GWAS
AGAP002800	""	""	""	""	""	""	""	""	GWAS
AGAP002801	""	""	""	""	""	""	""	""	GWAS
AGAP002802	""	""	""	""	""	""	""	""	GWAS
AGAP003198	""	""	""	""	""	""	""	""	GWAS
AGAP003199	""	""	""	""	""	""	""	""	GWAS
AGAP003205	""	""	""	""	""	""	""	""	GWAS
AGAP003206	""	""	""	""	""	""	""	""	GWAS
AGAP003207	""	""	""	""	""	""	""	""	GWAS
AGAP003208	""	""	""	""	""	""	""	""	GWAS
AGAP003209	""	""	""	""	""	""	""	""	GWAS
AGAP006325	""	""	""	""	GWAS	""	""	""	""
AGAP006328	""	""	""	""	GWAS	""	""	""	""
AGAP006719	""	""	""	""	""	""	""	""	GWAS
AGAP006720	""	""	""	""	""	""	""	""	GWAS
AGAP006721	""	""	""	""	""	""	""	""	GWAS
AGAP006722	""	""	""	""	""	""	""	""	GWAS
AGAP006723	""	""	""	""	""	""	""	""	GWAS
AGAP010815	""	""	""	""	""	""	""	""	GWAS
AGAP011444	""	""	""	""	""	""	""	""	GWAS
AGAP011445	""	""	""	""	""	""	""	""	GWAS
AGAP011446	""	""	""	""	""	""	""	""	GWAS
AGAP011447	""	""	""	""	""	""	""	""	GWAS
AGAP011448	""	""	""	""	""	""	""	""	GWAS
AGAP011449	""	""	""	""	""	""	""	""	GWAS
AGAP011452	""	""	""	""	""	""	""	""	GWAS
AGAP011453	""	""	""	""	""	""	""	""	GWAS
AGAP011638	""	""	""	""	""	""	""	""	GWAS
AGAP011640	""	""	""	""	""	""	""	""	GWAS
AGAP011641	""	""	""	""	""	""	""	""	GWAS
AGAP011642	""	""	""	""	""	""	""	""	GWAS
AGAP011643	""	""	""	""	""	""	""	""	GWAS
AGAP011644	""	""	""	""	""	""	""	""	GWAS
AGAP012981	""	""	""	""	""	""	""	""	GWAS
AGAP013210	""	""	""	""	""	""	""	""	GWAS
AGAP028752	""	""	""	""	""	""	""	""	GWAS
AGAP028753	""	""	""	""	""	""	""	""	GWAS
AGAP029149	""	""	""	""	""	""	""	""	GWAS
AGAP029255	""	""	""	""	""	""	""	""	GWAS
AGAP029300	""	""	""	""	""	""	""	""	GWAS
AGAP029379	""	""	""	""	""	""	""	""	GWAS
AGAP029536	""	""	""	""	""	""	""	""	GWAS
AGAP029564	""	""	""	""	""	""	""	""	GWAS
AGAP029619	""	""	""	""	""	""	""	""	GWAS
AGAP029627	""	""	""	""	""	""	""	""	GWAS
AGAP000495	Fst	""	""	""	""	""	""	""	""
AGAP000496	Fst	""	""	""	""	""	""	""	""
AGAP000497	Fst	""	""	""	""	""	""	""	""
AGAP000498	Fst	""	""	""	""	""	""	""	""
AGAP000499	Fst	""	""	""	""	""	""	""	""
AGAP000834	""	""	Fst	""	""	""	""	""	""
AGAP000835	""	""	Fst	""	""	""	""	""	""
AGAP000847	""	""	""	Fst;H12;PBS	H12	""	""	""	""
AGAP000848	""	""	""	Fst;;PBS	""	""	""	""	""
AGAP000849	""	""	""	Fst;;PBS	""	""	""	""	""
AGAP000850	""	""	""	Fst;;PBS	""	""	""	""	""
AGAP000851	""	""	""	Fst;;PBS	""	""	""	""	""
AGAP000852	""	""	""	Fst;;PBS	""	""	""	""	""
AGAP000853	""	""	""	Fst	""	""	""	""	""
AGAP000854	""	""	""	Fst	""	""	""	""	""
AGAP001330	""	""	""	""	Fst;H12;PBS	""	Fst;H12;PBS	H12	""
AGAP001331	""	""	""	""	Fst;;PBS	""	PBS	""	""
AGAP001332	""	""	""	""	Fst;;PBS	""	Fst;;PBS	""	""
AGAP001334	""	""	""	""	Fst;;PBS	""	Fst;H12;PBS	""	""
AGAP001335	""	""	""	""	Fst;H12;PBS	""	Fst;H12;PBS	""	""
AGAP001336	""	""	""	""	Fst;H12;PBS	""	Fst;H12;PBS	""	""
AGAP001337	""	""	""	""	Fst;H12;PBS	""	Fst;H12;PBS	""	""
AGAP001338	""	""	""	""	Fst;H12;PBS	""	Fst;H12;PBS	""	""
AGAP001339	""	""	""	""	Fst;H12;PBS	""	Fst;H12;PBS	""	""
AGAP001340	""	""	""	""	Fst;H12;PBS	""	Fst;H12;PBS	""	""
AGAP001341	""	""	""	""	Fst;H12;PBS	""	Fst;H12;PBS	""	""
AGAP001342	""	""	""	""	Fst;H12;PBS	""	Fst;H12;PBS	""	""
AGAP001343	""	""	""	""	Fst;H12;PBS	""	Fst;H12;PBS	""	""
AGAP001344	""	""	""	""	Fst;H12;PBS	""	Fst;H12;PBS	""	""
AGAP001345	""	""	""	""	Fst;H12;PBS	""	Fst;H12;PBS	""	""
AGAP001346	""	""	""	""	Fst;H12;PBS	""	Fst;H12;PBS	""	""
AGAP001347	""	""	""	""	Fst;H12;PBS	""	Fst;H12;PBS	""	""
AGAP001348	""	""	""	""	Fst;H12;PBS	""	Fst;H12;PBS	""	""
AGAP001349	""	PBS	""	""	Fst;H12;PBS	""	Fst;H12;PBS	""	""
AGAP001350	""	PBS	""	""	Fst;H12;PBS	""	Fst;H12;PBS	""	""
AGAP001351	""	PBS	""	""	Fst;H12;PBS	""	Fst;H12;PBS	""	""
AGAP001352	""	PBS	""	""	Fst;H12;PBS	""	Fst;H12;PBS	""	""
AGAP001353	""	PBS	""	""	Fst;H12;PBS	""	Fst;H12;PBS	""	""
AGAP001354	""	PBS	""	""	Fst;;PBS	""	Fst;H12;PBS	""	""
AGAP001361	""	""	""	""	Fst;H12;PBS	""	PBS	""	""
AGAP001362	""	""	""	""	Fst;H12;PBS	""	PBS	""	""
AGAP001363	""	""	""	""	Fst;H12;PBS	""	PBS	""	""
AGAP001364	""	""	""	""	Fst;;PBS	""	PBS	""	""
AGAP001365	""	""	""	""	Fst;;PBS	""	PBS	""	""
AGAP001366	""	""	""	""	Fst;;PBS	""	PBS	""	""
AGAP001367	""	""	""	""	Fst;H12;PBS	""	H12;PBS	""	H12
AGAP001368	""	""	""	""	Fst;H12;PBS	""	H12	""	PBS
AGAP001369	""	""	""	""	Fst;H12;PBS	""	H12;PBS	""	H12;PBS
AGAP001370	""	""	""	""	Fst;H12;PBS	""	""	""	PBS
AGAP001372	""	""	""	""	Fst;H12;PBS	""	""	""	H12
AGAP002845	""	""	""	""	""	""	""	Fst;;PBS	""
AGAP002846	""	""	""	""	""	""	""	Fst;;PBS	""
AGAP002847	""	""	""	""	""	""	""	Fst;;PBS	""
AGAP002848	""	""	""	""	""	""	""	Fst;;PBS	""
AGAP002849	""	""	""	""	""	""	""	Fst;;PBS	""
AGAP002850	""	""	""	""	""	""	""	Fst;;PBS	""
AGAP002851	""	""	""	""	""	""	""	Fst;;PBS	""
AGAP002852	""	""	""	""	""	""	""	Fst;;PBS	""
AGAP002853	""	""	""	""	""	""	""	Fst;;PBS	""
AGAP002854	""	""	""	""	""	""	""	Fst	""
AGAP002855	""	""	""	""	""	""	""	Fst	""
AGAP002856	""	""	""	""	""	""	""	Fst	""
AGAP002857	""	""	""	""	""	""	""	Fst	""
AGAP002858	""	""	""	""	""	""	""	Fst	""
AGAP002859	""	""	""	""	""	Fst;;PBS	""	Fst;;PBS	""
AGAP009184	""	""	""	""	Fst;;PBS	""	""	""	""
AGAP009185	""	""	""	""	Fst;;PBS	""	""	""	""
AGAP009187	""	""	""	""	Fst;;PBS	""	""	""	""
AGAP009188	""	""	""	""	Fst;;PBS	""	""	""	""
AGAP009189	""	""	""	""	Fst;;PBS	""	H12	""	""
AGAP010055	""	""	""	""	""	""	""	""	Fst;;PBS
AGAP010056	""	""	""	""	""	""	""	""	Fst;;PBS
AGAP010057	H12	""	""	""	""	""	""	""	Fst;;PBS
AGAP010058	H12	""	""	""	""	""	""	""	Fst;;PBS
AGAP013262	Fst	""	""	""	""	""	""	""	""
AGAP013314	""	""	""	""	""	""	""	Fst	""
AGAP013388	""	""	""	""	""	""	""	Fst;;PBS	""
AGAP013506	""	""	Fst	""	""	""	""	""	""
AGAP013529	""	""	""	""	""	""	""	Fst	""
AGAP028467	""	""	""	""	Fst;;PBS	""	PBS	""	""
AGAP028468	""	""	""	""	Fst;H12;PBS	""	H12;PBS	""	""
AGAP028655	""	""	Fst	""	""	""	""	""	""
Ace1 (AGAP001356)	""	H12	""	""	Fst;H12;PBS	""	Fst;H12;PBS	""	Fst;H12;PBS
Coe22933 (AGAP003568)	""	""	""	Fst	""	""	""	""	""
Coeae6o (AGAP002863)	""	""	""	""	""	PBS	""	Fst;;PBS	""
Cyp6aa1 (AGAP002862)	""	""	""	""	""	PBS	""	Fst;;PBS	""
Cyp6aa2 (AGAP013128)	""	""	""	""	""	PBS	""	Fst;;PBS	""
Cyp6p15p (AGAP002864)	""	""	""	""	""	PBS	""	Fst;;PBS	""
Cyp6p3 (AGAP002865)	""	""	""	""	""	PBS	""	Fst;;PBS	""
Cyp6p5 (AGAP002866)	""	""	""	""	""	""	""	Fst;;PBS	""
Gluriib (AGAP000801)	""	""	""	Fst	""	""	""	""	PBS
Gste5 (AGAP009192)	""	""	""	""	Fst	""	H12	""	""
Gste6 (AGAP009191)	""	""	""	""	Fst	""	H12	""	""
Gste8 (AGAP009190)	""	""	""	""	Fst	""	H12	""	""
St (AGAP001333)	""	""	""	""	Fst;;PBS	""	Fst;H12;PBS	""	""
AGAP000768	""	""	""	""	""	""	""	""	H12
AGAP000769	""	""	""	""	""	""	""	""	H12
AGAP000770	""	""	""	""	""	""	""	""	H12
AGAP000771	""	""	""	""	""	""	""	""	H12
AGAP001322	""	""	""	""	""	""	H12	""	""
AGAP001323	""	""	""	""	""	""	H12	""	""
AGAP001324	""	""	""	""	""	""	H12	""	""
AGAP001325	""	""	""	""	""	""	H12	""	""
AGAP001326	""	""	""	""	""	""	H12	""	""
AGAP001328	""	H12	""	""	""	""	H12;PBS	""	""
AGAP001371	""	""	""	""	H12;PBS	""	""	""	""
AGAP002872	""	""	""	H12	""	""	""	""	""
AGAP002874	""	""	""	H12	""	""	""	""	""
AGAP002875	""	""	H12	""	""	""	""	""	""
AGAP002876	""	""	H12	""	""	""	""	""	""
AGAP002877	""	""	H12	""	""	""	""	""	""
AGAP002878	""	""	H12	""	""	""	""	""	""
AGAP002879	""	""	H12	""	""	""	""	""	""
AGAP002880	""	""	H12	""	""	""	""	""	""
AGAP003638	""	""	""	""	""	""	""	H12	""
AGAP003639	""	""	""	""	""	""	""	H12	""
AGAP003643	""	""	""	""	""	""	""	H12	""
AGAP004287	""	""	""	H12	""	""	""	""	""
AGAP004405	H12	""	""	""	""	""	""	""	""
AGAP004407	H12	""	""	""	""	""	""	""	""
AGAP004408	H12	""	""	""	""	""	""	""	""
AGAP004409	H12	""	""	""	""	""	""	""	""
AGAP004410	H12	""	""	""	""	""	""	""	""
AGAP004768	""	""	H12	""	""	H12	""	""	""
AGAP004769	""	""	H12	""	""	H12	""	""	""
AGAP004775	""	""	H12	""	""	""	""	""	""
AGAP004780	""	""	H12	""	""	""	""	""	""
AGAP004781	""	""	H12	""	""	""	""	""	""
AGAP004782	""	""	H12	""	""	""	""	""	""
AGAP004783	""	""	H12	""	""	""	""	""	""
AGAP004784	""	""	H12	""	""	""	""	""	""
AGAP004785	""	""	H12	""	""	""	""	""	""
AGAP004786	""	""	H12	""	""	""	""	""	""
AGAP004787	""	""	H12	""	""	""	""	""	""
AGAP004788	""	""	H12	""	""	""	""	""	""
AGAP004789	""	""	H12	""	""	""	""	""	""
AGAP004790	""	""	H12	""	""	""	""	""	""
AGAP004791	""	""	H12	""	""	""	""	""	""
AGAP004792	""	""	H12	""	""	""	""	""	""
AGAP004793	""	""	H12	""	""	""	""	""	""
AGAP004794	""	""	H12	""	""	""	""	""	""
AGAP004795	H12	""	""	""	""	H12	""	""	""
AGAP004797	H12	""	""	""	""	H12	""	""	""
AGAP004798	H12	""	""	""	""	H12	""	""	""
AGAP004812	""	""	""	""	H12	""	""	""	""
AGAP004813	""	""	""	""	H12	""	""	""	""
AGAP004814	""	""	""	""	H12	""	""	""	""
AGAP004815	""	""	""	""	H12	""	""	""	""
AGAP004816	""	""	""	""	H12	""	""	""	""
AGAP005333	""	""	""	""	""	H12	""	""	""
AGAP005341	""	""	""	""	""	H12;PBS	""	""	""
AGAP005342	""	""	""	""	""	H12	""	""	""
AGAP005343	""	""	""	""	""	H12	""	""	""
AGAP005715	""	""	H12	""	""	""	""	""	""
AGAP005737	""	H12	""	""	""	""	""	""	""
AGAP005738	""	H12	""	""	""	""	""	""	""
AGAP005739	""	H12	""	""	""	""	""	""	""
AGAP007529	""	""	""	""	""	""	""	H12	""
AGAP007530	""	""	""	""	""	""	""	H12	""
AGAP007531	""	""	""	""	""	""	""	H12	""
AGAP007532	""	""	""	""	""	""	""	H12	""
AGAP007533	""	""	""	""	""	""	""	H12	""
AGAP007534	""	""	""	""	""	""	""	H12	""
AGAP008009	""	""	""	H12	""	""	""	""	""
AGAP008017	""	""	""	""	H12	""	""	""	""
AGAP008433	""	""	""	""	""	""	""	H12	""
AGAP009959	H12	""	""	""	""	""	""	""	""
AGAP009960	H12	""	""	""	""	""	""	""	""
AGAP009964	H12	""	""	""	""	""	""	""	""
AGAP009965	H12	""	""	""	""	""	""	""	""
AGAP010059	H12	""	""	""	""	""	""	""	PBS
AGAP010060	H12	""	""	""	""	""	""	""	PBS
AGAP010061	H12	""	""	""	""	""	""	""	PBS
AGAP013017	H12	""	""	""	""	""	""	""	""
AGAP013228	""	""	""	""	""	""	""	H12	""
AGAP013244	""	""	H12	""	""	""	""	""	""
AGAP013415	""	""	""	H12	""	""	""	""	""
AGAP029190	""	""	""	H12	""	""	""	""	""
Ctl1 (AGAP004811)	""	""	""	""	H12	""	""	""	""
Ctl3 (AGAP004810)	""	""	""	""	H12	""	""	""	""
Ctlma6 (AGAP005332)	""	""	""	""	""	H12;PBS	""	""	""
Gprnpr1 (AGAP002881)	""	""	H12	""	""	""	""	""	""
Gste1 (AGAP009195)	""	""	""	""	""	""	H12	""	""
Gste2 (AGAP009194)	""	""	""	""	""	""	H12	""	""
Gste3 (AGAP009197)	""	""	""	""	""	""	H12	""	""
Gste4 (AGAP009193)	""	""	""	""	""	""	H12	""	""
Gste7 (AGAP009196)	""	""	""	""	""	""	H12	""	""
Lig (AGAP004817)	""	""	""	""	H12	""	""	""	""
Mrps11 (AGAP003644)	""	""	""	""	""	""	""	H12	""
Sp8898 (AGAP003642)	""	""	""	""	""	""	""	H12	""
Sp8905 (AGAP003640)	""	""	""	""	""	""	""	H12	""
Sp8907 (AGAP003641)	""	""	""	""	""	""	""	H12	""
A5r3 (AGAP003354)	PBS	""	""	""	""	""	""	""	""
AGAP000237	""	""	PBS	""	""	""	""	""	""
AGAP000238	""	""	PBS	""	""	""	""	""	""
AGAP000586	""	""	""	""	""	""	""	PBS	""
AGAP000786	""	""	""	""	""	PBS	""	""	""
AGAP000787	""	""	""	""	""	PBS	""	""	""
AGAP000788	""	""	""	""	""	PBS	""	""	PBS
AGAP000789	""	""	""	""	""	PBS	""	""	PBS
AGAP000795	""	""	""	""	""	""	PBS	""	""
AGAP000855	""	""	""	PBS	""	""	""	""	""
AGAP000856	""	""	""	PBS	""	""	""	""	""
AGAP000858	""	""	""	PBS	""	""	""	""	""
AGAP000859	""	""	""	PBS	""	""	""	""	""
AGAP000860	""	""	""	PBS	""	""	""	""	""
AGAP001315	""	""	""	""	""	""	PBS	""	""
AGAP001316	""	""	""	""	""	""	PBS	""	""
AGAP002628	""	""	""	PBS	""	""	""	""	""
AGAP002641	""	""	""	PBS	""	""	""	""	""
AGAP002642	""	""	""	PBS	""	""	""	""	""
AGAP003473	""	""	""	""	PBS	""	""	""	""
AGAP003474	""	""	""	""	PBS	""	""	""	""
AGAP003574	PBS	""	""	""	""	""	""	""	""
AGAP003632	""	""	""	PBS	""	""	""	""	""
AGAP003633	""	""	""	PBS	""	""	""	""	""
AGAP004265	""	PBS	""	""	""	""	""	""	""
AGAP004266	""	PBS	""	""	""	""	""	""	""
AGAP004267	""	PBS	""	""	""	""	""	""	""
AGAP004268	""	PBS	""	""	""	""	""	""	""
AGAP004269	""	PBS	""	""	""	""	""	""	""
AGAP004270	""	PBS	""	""	""	""	""	""	""
AGAP004271	""	PBS	""	""	""	""	""	""	""
AGAP004315	""	""	""	""	PBS	""	""	""	""
AGAP004316	""	""	""	""	PBS	""	""	""	""
AGAP004319	""	""	""	""	PBS	""	""	""	""
AGAP004320	""	""	""	""	PBS	""	""	""	""
AGAP004577	PBS	""	""	""	""	""	""	""	""
AGAP004580	PBS	""	""	""	""	""	""	""	""
AGAP004581	PBS	""	""	""	""	""	""	""	""
AGAP004582	PBS	""	""	""	""	""	""	""	""
AGAP004583	PBS	""	""	""	""	""	""	""	""
AGAP004584	PBS	""	""	""	""	""	""	""	""
AGAP004585	PBS	""	""	""	""	""	""	""	""
AGAP004644	""	""	""	PBS	""	""	""	""	""
AGAP004645	""	""	""	PBS	""	""	""	""	""
AGAP004646	""	""	""	PBS	""	""	""	""	""
AGAP004648	""	""	""	PBS	""	""	""	""	""
AGAP005294	""	""	""	""	""	""	PBS	""	""
AGAP005295	""	""	""	""	""	""	PBS	""	""
AGAP005296	""	""	""	""	""	""	PBS	""	""
AGAP005297	""	""	""	""	""	""	PBS	""	""
AGAP005298	""	""	""	""	""	""	PBS	""	""
AGAP005299	""	""	""	""	""	""	PBS	""	""
AGAP005300	""	""	""	""	""	""	PBS	""	""
AGAP005301	""	""	""	""	""	""	PBS	""	""
AGAP005323	""	""	""	""	""	PBS	""	""	""
AGAP005324	""	""	""	""	""	PBS	""	""	""
AGAP005336	""	""	""	""	""	PBS	""	""	""
AGAP005338	""	""	""	""	""	PBS	""	""	""
AGAP005340	""	""	""	""	""	PBS	""	""	""
AGAP005449	""	""	""	""	""	PBS	""	""	""
AGAP005777	""	""	""	""	PBS	""	""	""	""
AGAP005778	""	""	""	""	PBS	""	""	""	""
AGAP007066	""	""	""	""	PBS	""	""	""	""
AGAP007068	""	""	""	""	PBS	""	""	""	""
AGAP007069	""	""	""	""	PBS	""	""	""	""
AGAP008202	""	""	""	""	""	""	""	PBS	""
AGAP008423	""	""	""	""	""	""	""	PBS	""
AGAP008424	""	""	""	""	""	""	""	PBS	""
AGAP008425	""	""	""	""	""	""	""	PBS	""
AGAP008426	""	""	""	""	""	""	""	PBS	""
AGAP008428	""	""	""	""	""	""	""	PBS	""
AGAP008429	""	""	""	""	""	""	""	PBS	""
AGAP008430	""	""	""	""	""	""	""	PBS	""
AGAP009201	""	""	""	""	PBS	""	""	""	""
AGAP009202	""	""	""	""	PBS	""	""	""	""
AGAP009203	""	""	""	""	PBS	""	""	""	""
AGAP009744	PBS	""	""	""	""	""	""	""	""
AGAP009750	""	""	""	""	""	""	PBS	""	""
AGAP009796	PBS	""	""	""	""	""	""	""	""
AGAP010062	""	""	""	""	""	""	""	""	PBS
AGAP010063	""	""	""	""	""	""	""	""	PBS
AGAP010064	""	""	""	""	""	""	""	""	PBS
AGAP010066	""	""	""	""	""	""	""	""	PBS
AGAP010067	""	""	""	""	""	""	""	""	PBS
AGAP010068	""	""	""	""	""	""	""	""	PBS
AGAP010184	""	PBS	""	""	""	""	""	""	""
AGAP010681	""	""	""	""	""	""	PBS	""	""
AGAP010682	""	""	""	""	""	""	PBS	""	""
AGAP010683	""	""	""	""	""	""	PBS	""	""
AGAP010684	""	""	""	""	""	""	PBS	""	""
AGAP010685	""	""	""	""	""	""	PBS	""	""
AGAP010686	""	""	""	""	""	""	PBS	""	""
AGAP010687	""	""	""	""	""	""	PBS	""	""
AGAP010841	""	""	""	""	""	""	PBS	""	""
AGAP010892	""	""	""	""	PBS	""	""	""	""
AGAP010893	""	""	""	""	PBS	""	""	""	""
AGAP010964	""	""	""	""	""	PBS	""	""	""
AGAP010965	""	""	""	""	""	PBS	""	""	""
AGAP012186	""	""	""	""	""	""	""	PBS	""
AGAP012187	""	""	""	""	""	""	""	PBS	""
AGAP012188	""	""	""	""	""	""	""	PBS	""
AGAP012189	""	""	""	""	""	""	""	PBS	""
AGAP012290	""	""	""	""	""	""	""	""	PBS
AGAP012297	""	""	""	""	""	""	""	""	PBS
AGAP012298	""	""	""	""	""	""	""	""	PBS
AGAP012299	""	""	""	""	""	""	""	""	PBS
AGAP012966	""	""	""	""	PBS	""	""	""	""
AGAP012991	""	""	""	PBS	""	""	""	""	""
AGAP013063	""	""	""	PBS	""	""	""	""	""
AGAP013065	""	""	""	""	PBS	""	""	""	""
AGAP013086	""	""	""	PBS	""	""	""	""	""
AGAP013097	""	""	""	PBS	""	""	""	""	""
AGAP013110	""	""	""	PBS	""	""	""	""	""
AGAP013139	""	PBS	""	""	""	""	""	""	""
AGAP013147	""	""	""	""	""	PBS	""	""	PBS
AGAP013192	PBS	""	""	""	""	""	""	""	""
AGAP013202	""	""	""	""	""	""	""	PBS	""
AGAP013217	PBS	""	""	""	""	""	""	""	""
AGAP013225	""	""	""	PBS	""	""	""	""	""
AGAP013247	""	""	""	PBS	""	""	""	""	""
AGAP013316	""	""	""	PBS	""	""	""	""	""
AGAP013322	""	""	""	PBS	""	""	""	""	""
AGAP013353	""	""	""	PBS	""	""	""	""	""
AGAP013453	""	""	""	PBS	""	""	""	""	""
AGAP013456	""	""	""	PBS	""	""	""	""	""
AGAP013484	""	""	""	PBS	""	""	""	""	""
AGAP013517	""	""	""	PBS	""	""	""	""	""
AGAP013522	""	""	""	PBS	""	""	""	""	""
AGAP028058	""	""	""	""	PBS	""	""	""	""
AGAP028093	""	""	""	""	""	""	""	PBS	""
AGAP028474	""	""	""	PBS	""	""	""	""	""
AGAP028475	""	""	""	PBS	""	""	""	""	""
AGAP028476	""	""	""	PBS	""	""	""	""	""
AGAP029045	""	""	""	""	PBS	""	""	""	""
AGAP029173	""	""	""	""	""	PBS	""	""	""
AGAP029181	""	""	""	""	""	PBS	""	""	""
Abch1 (AGAP002638)	""	""	""	PBS	""	""	""	""	""
Ance2 (AGAP009751)	""	""	""	""	""	""	PBS	""	""
Ance3 (AGAP028646)	""	""	""	""	""	""	PBS	""	""
Ance4 (AGAP009754)	""	""	""	""	""	""	PBS	""	""
Ance5 (AGAP009755)	""	""	""	""	""	""	PBS	""	""
Ance6 (AGAP009756)	""	""	""	""	""	""	PBS	""	""
Ance7 (AGAP009757)	""	""	""	""	""	""	PBS	""	""
Cdk2 (AGAP004579)	PBS	""	""	""	""	""	""	""	""
Cht23 (AGAP005337)	""	""	""	""	""	PBS	""	""	""
Cht4 (AGAP005339)	""	""	""	""	""	PBS	""	""	""
Clipc2 (AGAP004317)	""	""	""	""	PBS	""	""	""	""
Clipc3 (AGAP004318)	""	""	""	""	PBS	""	""	""	""
Cplcx1 (AGAP001329)	""	""	""	""	""	""	PBS	""	""
Ctl4 (AGAP005335)	""	""	""	""	""	PBS	""	""	""
Ctlma2 (AGAP005334)	""	""	""	""	""	PBS	""	""	""
Cyp6ad1 (AGAP002870)	""	""	""	""	""	""	""	PBS	""
Cyp6m1 (AGAP008209)	""	""	""	""	""	""	""	PBS	""
Cyp6n2 (AGAP008206)	""	""	""	""	""	""	""	PBS	""
Cyp6p1 (AGAP002868)	""	""	""	""	""	""	""	PBS	""
Cyp6p2 (AGAP002869)	""	""	""	""	""	""	""	PBS	""
Cyp6p4 (AGAP002867)	""	""	""	""	""	""	""	PBS	""
Cyp6r1 (AGAP008205)	""	""	""	""	""	""	""	PBS	""
Cyp6s1 (AGAP008204)	""	""	""	""	""	""	""	PBS	""
Cyp6s2 (AGAP008203)	""	""	""	""	""	""	""	PBS	""
Cyp6y1 (AGAP008208)	""	""	""	""	""	""	""	PBS	""
Cyp6y2 (AGAP008207)	""	""	""	""	""	""	""	PBS	""
Cyp9j5 (AGAP012296)	""	""	""	""	""	""	""	""	PBS
Gprbos (AGAP004272)	""	PBS	""	""	""	""	""	""	""
Gprgrp2 (AGAP003631)	""	""	""	PBS	""	""	""	""	""
Gprnna19 (AGAP000606)	""	""	""	""	""	""	PBS	""	""
Mrpl3 (AGAP000857)	""	""	""	PBS	""	""	""	""	""
Npf (AGAP004642)	""	""	""	PBS	""	""	""	""	""
Or38 (AGAP002640)	""	""	""	PBS	""	""	""	""	""
Or39 (AGAP002639)	""	""	""	PBS	""	""	""	""	""
Osi16 (AGAP003472)	""	""	""	""	PBS	""	""	""	""
Osi2 (AGAP004125)	PBS	""	""	""	""	""	""	""	""
Osi20 (AGAP003471)	""	""	""	""	PBS	""	""	""	""
Osi24 (AGAP004124)	PBS	""	""	""	""	""	""	""	""
Osi3 (AGAP004126)	PBS	""	""	""	""	""	""	""	""
Osi4 (AGAP004127)	PBS	""	""	""	""	""	""	""	""
Rpl12 (AGAP010065)	""	""	""	""	""	""	""	""	PBS
Scrb6 (AGAP004643)	""	""	""	PBS	""	""	""	""	""
Tep4 (AGAP010812)	""	""	""	""	""	PBS	""	""	""
Utp6 (AGAP008427)	""	""	""	""	""	""	""	PBS	""
